,citingcorpusid,citedcorpusid,isinfluential,contexts,intents,updated
0,20187272,85219962.0,False,,,2020-09-13T15:59:00.392Z
1,119870540,137310640.0,False,,,2020-09-28T05:39:33.900Z
2,18835056,,False,,,2020-10-01T18:05:47.174Z
3,128947670,,False,"['Before these years, there are various treatises in which a compass is mentioned, such as Da’irat al-Muaddel , which means ‘ Equatorial (Semi-circle) of the Turkish Admiral Seydi Ali Reis (Karim, 2005; Wiedeman, 2005; Sipahioglu, 1957; Dizer, 1977).', 'A treatise on the magnetic compass used for finding the Kibla was compiled by Rasulid Yemeni Sultan al-Ashraf in about 1290 (Karim, 2005).']","['background', 'methodology']",2020-12-11T05:14:10.225Z
4,169150838,,True,"['S.A. and Post, J. (2003). „Between Markets and Partnerships: Urban Solid Waste Management and Contributions to Sustainable Development?’ Global Built Environment Review, Volume 3, Issue 1, pp.', 'This compares again to the study of Njoroge et al, (2013) where most of the respondents pick waste as the only source of livelihood support.', 'The US. EPA (2012) also raised concerns of leachate not only affecting ground water but also its movement to and contamination of surface water hence putting life at risk whiles also endangering the lives of communities that source water from such water bodies.', 'None-the-less, in the findings of the study of Njoroge et al (2013) in Kenya, it was realised that males were dominant in the waste picking activity and this was associated with the nature of the job as being too difficult and societal and cultural ascription to females but then again, contradicts Huysman (1994) who argued that women are at a disadvantage hence tend to dominate the waste picking sector owing to their low educational levels compared to men.', 'Njoroge et al (2013) in Kenya realised that males were dominant in waste picking activities as a means to feed their families and this was done as their only source of livelihood.', '62 Njoroge S. K. et al (2013) Influence of Informal Solid Waste Management on Livelihoods of Urban Solid Waste Collectors: A Case Study of Nakuru Municipality, Kenya.', 'This result therefore occurred in the study of Njoroge et al, (2013) who also argued that fire at dump sites poses a constant danger to habitant near such facilities.']",['background'],2020-12-10T11:44:46.918Z
5,22971492,,False,,,2020-12-10T01:48:11.746Z
6,34747680,38571690.0,False,,,2020-12-12T10:15:16.395Z
7,219475436,,False,,,2021-06-04T11:14:40.064Z
8,16165464,,False,,,2020-07-23T04:11:03.184Z
9,86354842,,False,,,2020-07-24T01:38:37.608Z
10,24762483,9730073.0,False,,,2020-11-25T08:05:33.152Z
11,107696193,,True,"['Another rationale is attributable to the fact that currently the oncologic diagnosis is totally dependent on the human operator, a factor that both raises the cost of the existing procedures and pays its toll through the inevitable errors involved [47].', 'Table 3-1 Normal level for basic tumour markers (adapted after [47]).', 'Table 3-2 Cancer and tumour associated markers (adapted after [47]) .', 'The literature [47, 51-54] in oncology emphasizes the importance of early detection of the disease as the primordial factor in the survival of the patient and an important component of the quality of life following the treatment.', 'The classic approach in the cancer diagnosis involves invasive techniques where bio-samples collected from tumors - biopsies - are prepared using staining techniques and subsequently morphologically analyzed under the microscope [47].', 'The immunoassays and the immunosensors [3, 47, 54, 62, 66-69] use the selectivity of an antibody to specifically bind to the specific antigen from a mixture of complex biological substances (Figure 3.', '28 Table 3-2 Cancer and tumour associated markers (adapted after [47])', 'The promise of μTAS devices in being extremely precise, versatile and low cost (as a result of the batch fabrication technologies and the small quantities of analytes involved) brings a perspective where the micro fabricated devices combined with genomic, proteomic, epigenetic profiling, and predictive biomarkers will be accountable for a revolutionary breakthrough in the oncologic field [4, 5, 47, 50].', 'They are the environment in which 99% of the prostate malignant conditions occur [47].', 'Table 3-1 Normal level for basic tumour markers (adapted after [47])']","['background', 'methodology']",2020-12-12T07:11:41.853Z
12,55507221,,False,"['These groups of authors (see, e.g., Birchall, 2004, 2003; Holmén, 1990; ICA/ILO, 2005; Wanyama et al., 2008; Simmons and Birchall, 2008; Develtere et al., 2008; Bibby and Shaw, 2005; Markell, 2004; Stiglitz, 2004; Pollet and Develtere, 2004; Parnell, 2001; Spear, 2002; Vicari, 2008; OCDC, 2007) share an optimistic perspective arguing that cooperatives are the only institutions that have the potential of meeting all the dimensions of poverty.']",['background'],2020-12-12T18:35:47.626Z
13,221174214,139052746.0,False,,,2020-12-13T11:26:57.513Z
14,221175088,,False,"[', 2011), antibacterial properties (Patel and Vakilwala, 2016; Sambasivaraju and Fazeel, 2018), and antioxidant activity (Pathak et al.', '…2010) through stimulation of appetite and feed intake (FI), the improvement of digestive enzyme secretion, activation of immune response (Rahimi et al., 2011), antibacterial properties (Patel and Vakilwala, 2016; Sambasivaraju and Fazeel, 2018), and antioxidant activity (Pathak et al., 2011).']",['background'],2020-08-23T21:16:45.013Z
