,corpusid,externalids,url,title,authors,venue,publicationvenueid,year,referencecount,citationcount,influentialcitationcount,isopenaccess,s2fieldsofstudy,publicationtypes,publicationdate,journal,updated
0,108228682,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2921691074', 'CorpusId': '108228682', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/d5ec1ea2c9261c54cf41fef1e5c9f2f8abe28ce2,"Optimization, characterization and immobilization of alkaline protease from chicken feather and fish fin using mixed culture","[{'authorId': '93500598', 'name': 'Raid D. Thanoon'}]",,,2018.0,0,0,0,False,"[{'category': 'Agricultural And Food Sciences', 'source': 's2-fos-model'}, {'category': 'Chemistry', 'source': 'external'}]",,,"{'name': '', 'pages': None, 'volume': ''}",2022-01-27T02:09:51.713Z
1,223403092,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3030574868', 'CorpusId': '223403092', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/3fcfaac27cb9aa55134fc41d8597e6bfc20b625c,El paraíso republicano de la tolerancia religiosa: Los Países Bajos en el siglo XVII,"[{'authorId': '104250384', 'name': 'J. Segovia'}]",,,2018.0,0,0,0,False,,,,"{'name': '', 'pages': '557-595', 'volume': ''}",2022-01-27T03:04:16.866Z
2,212166925,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '303548101', 'CorpusId': '212166925', 'PubMed': None, 'DOI': '10.6052/0459-1879-1957-2-1957-004', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/1e69f152699d2ca34b016520c41a172778252342,马克思主义再生产理论的数学分析(二)——论生产高速上涨的条件,"[{'authorId': '135349993', 'name': '何祚庥'}, {'authorId': '136404583', 'name': '罗劲柏'}]",,,1957.0,0,0,0,False,,,1957-04-18,"{'name': '', 'pages': '184-192', 'volume': '1'}",2022-01-27T04:22:25.458Z
3,217374095,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2625448924', 'CorpusId': '217374095', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/705b2604a529cb365e39ee55632b3b89437b8c4d,加快推进我省粮食加工业发展发挥好维护国家粮食安全“压舱石”作用,"[{'authorId': '136239871', 'name': '王乃巨'}]",,,2016.0,0,0,0,False,,,,"{'name': '', 'pages': '9-9', 'volume': ''}",2022-01-27T05:28:45.020Z
4,209888545,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2810609952', 'CorpusId': '209888545', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/b6538be2201cb83b342fbfe913ab8dd55ad38c2d,Rotable conveying unit in fixing mechanism,"[{'authorId': '1477587092', 'name': '菱川恭秀'}]",,,1990.0,0,0,0,False,,,1990-04-03,"{'name': '', 'pages': None, 'volume': ''}",2022-01-23T02:56:41.924Z
5,185704803,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2503128914', 'CorpusId': '185704803', 'PubMed': None, 'DOI': '10.1515/9783484970731.3.249', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/90a77cb68c53f28954c2c2654bb921a4d7605a8d,Salutogenetische Psychosomatik und Psychotherapie. Ressourcenorientiertes Vorgehen und positives Menschenbild im ergebnisorientierten Zeitalter,"[{'authorId': '80594038', 'name': 'D. Grönemeyer'}, {'authorId': '83568966', 'name': 'T. Kobusch'}, {'authorId': '143925328', 'name': 'H. Schott'}, {'authorId': '82003655', 'name': 'T. Welt'}]",,,2008.0,0,0,0,False,,,2008-01-12,"{'name': '', 'pages': None, 'volume': ''}",2022-01-23T03:41:45.729Z
6,178503351,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '1517813643', 'CorpusId': '178503351', 'PubMed': None, 'DOI': '10.21031/EPOD.45799', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/5789b87cb4d584e01aaafcac041d2d3747b19d0c,Ülkemizde Ölçme ve Değerlendirmenin Dünü – Bugünü ve Yarını - Dünü,"[{'authorId': '144872225', 'name': 'M. Turğut'}]",,,2011.0,0,1,0,False,,,2011-04-01,"{'name': '', 'pages': None, 'volume': '2'}",2022-01-23T03:46:44.319Z
7,200546598,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2596157869', 'CorpusId': '200546598', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/3d17ce03ce5afa7c690874ffb215ce9f8cb2bfd4,Børnelitteratur i bevægelse: - digital litteratur for børn ud fra en intermedial tilgang,"[{'authorId': '72737341', 'name': 'Ayoe Qvist Henkel'}]",,,2016.0,0,0,0,False,,,2016-08-31,"{'name': '', 'pages': None, 'volume': ''}",2022-01-24T18:57:36.975Z
8,176667917,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '655300700', 'CorpusId': '176667917', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/740fa76d118e515a63d2057950ddc85e95e5539d,トリプルセル方式高温DSCによる熱容量の精密測定 (素材開発と熱物性 ) -- (最新の熱測定技術),"[{'authorId': '67157671', 'name': '高橋 洋一'}]",,,1992.0,0,0,0,False,,,1992-09-01,"{'name': '', 'pages': '23-32', 'volume': ''}",2022-01-24T19:10:47.370Z
9,125999022,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2772519012', 'CorpusId': '125999022', 'PubMed': None, 'DOI': '10.20885/IJCER.VOL1.ISS1.ART2', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/f89147c834f1071674faef0737f0e7fa4427859e,Group Resume Learning through Drama in Instructional Technology Course,"[{'authorId': '73226579', 'name': 'Artina Diniaty'}, {'authorId': '1411704300', 'name': 'Lina Fauzi’ah'}]",,,2017.0,4,0,0,False,"[{'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 'external'}]",,2017-08-19,"{'name': '', 'pages': '9-12', 'volume': '1'}",2022-01-27T05:48:23.917Z
10,72283061,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2017780921', 'CorpusId': '72283061', 'PubMed': None, 'DOI': '10.4236/OJIM.2012.24032', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/9368060ba7b3d61429d011e86202e470e524998e,Hypertrophic osteoarthropathy as the cause of situs inversus totalis: A case report,"[{'authorId': '80913488', 'name': 'Esteban Grandy'}, {'authorId': '8291455', 'name': 'Giuseppe Grandy'}]",,,2012.0,11,0,0,True,"[{'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]",,2012-12-17,"{'name': 'Open Journal of Internal Medicine', 'pages': '198-201', 'volume': '02'}",2022-01-27T09:58:54.282Z
11,198185421,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '198185421', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/6d72bde5a606abdc742b6cebee83f89575ba6dbd,An Experimental Measurement of Diversion Owing to Ramp Meters,"[{'authorId': '1832143867', 'name': 'Jingcheng Wu'}]",,,2007.0,8,1,0,False,,['Review'],,,2022-01-27T10:48:04.578Z
12,228058419,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '948467161', 'CorpusId': '228058419', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/95b6b49d1f7488a2dca43141113f94e0b2d309b7,论夏洛蒂·勃朗特的自卑心理及其在《简·爱》中的投射,"[{'authorId': '96875297', 'name': '刘春萍'}]",,,2010.0,0,0,0,False,,,,"{'name': '', 'pages': '143-147', 'volume': ''}",2022-01-27T12:28:49.393Z
13,191969151,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2272903456', 'CorpusId': '191969151', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/e9e853061a97ddd8666a4352da24411ba9e25d17,Somarriba logró un oro histórico en la crono y Ljungskog revalidó su título : una avería eliminó a la vizcaína en la prueba de línea / Jorge Quintana.,"[{'authorId': '122084960', 'name': 'Jorge. Quintana'}]",,,2014.0,0,0,0,False,,,2014-12-02,"{'name': '', 'pages': None, 'volume': ''}",2022-01-27T13:09:40.216Z
14,179127609,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '1486245815', 'CorpusId': '179127609', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/2f7de128564c4b0ec1ea93b648000a7bce819300,Przystosowanie systemu SOUT do celów dydaktycznych,"[{'authorId': '46742775', 'name': 'J. Pawlicki'}, {'authorId': '2494703', 'name': 'G. Karon'}, {'authorId': '3347139', 'name': 'I. Celinski'}]",,,1998.0,0,0,0,False,,,,,2022-01-27T13:26:09.578Z
15,224253153,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2893572889', 'CorpusId': '224253153', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/98277a972607124b942866deae44abbc8b014a96,俞文青教授编著的《建设项目管理学》一书问世,"[{'authorId': '2000309258', 'name': '纯淳'}]",,,,0,0,0,False,,,,"{'name': 'Journal of finance and economics', 'pages': '42', 'volume': '15'}",2022-01-27T14:29:17.721Z
16,227368074,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3083193434', 'CorpusId': '227368074', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/455c7f412e833ba9c1cb5b46ed5091dcb02d2440,Bosnie-Herzégovine: anatomie d'une poudrière,"[{'authorId': '105038705', 'name': 'Xavier Bougarel'}]",,,1992.0,0,5,2,False,,,,"{'name': '', 'pages': '84-147', 'volume': ''}",2022-01-27T16:27:03.242Z
17,235556760,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3158970197', 'CorpusId': '235556760', 'PubMed': None, 'DOI': '10.5897/AJAR2020.15287', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/4eee2c69e5f857dcb53dabdff9374729805c7d19,"Effect of powder and extract of Ritchiea reflexa (Thonn.) Gilg et Benedict and Ctenium elegans Kunth on Amitermes evuncifer Blattodea, Termitinae","[{'authorId': '2114670635', 'name': 'Kodjo Adande'}, {'authorId': '12903904', 'name': 'Oudjaniyobi Simalou'}, {'authorId': '15231875', 'name': 'B. D. Kasseney'}, {'authorId': '88971705', 'name': 'Eyabana Mollong'}]",,,2021.0,0,0,0,False,"[{'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 'external'}]",,2021-04-30,"{'name': 'African Journal of Agricultural Research', 'pages': '666-674', 'volume': '17'}",2022-01-27T20:14:19.114Z
