,id,alternate_issns,alternate_names,alternate_urls,issn,name,type,url
0,70d6d3d0-8bd5-4807-b790-8513d1041d69,[],['Tour Recreat'],[],2687-1971,Tourism and Recreation,journal,
1,fde8b24a-78a8-4fc0-a168-03b3246c3e0c,[],['HALI int j Orient carpet text'],[],0142-0798,HALI; the international journal of Oriental carpets and textiles,journal,http://www.exacteditions.com/
2,ff443b54-0aca-4291-9803-2a9186939e19,[],['Fish Physiol'],[],1546-5098,Fish Physiology,journal,http://www.sciencedirect.com/science/bookseries/15465098
3,d8022bcc-5bf6-4afa-a249-7eb8839d4f9c,[],['J Int Soc Bus Discip'],[],1930-4951,Journal of the International Society of Business Disciplines,journal,
4,2dcfc616-fa03-4ba0-8e5c-cb02b1024389,[],['arxiv Probab'],[],,arXiv: Probability,journal,
5,a6a4fa02-0966-48a7-aded-7110302f223c,[],['JK Int J Manag Soc Sci'],[],2581-7337,JK International Journal of Management and Social Science,journal,https://www.jkbschool.org/research-journals/
6,5a4f01a7-8bad-41d7-8201-11beed3442d7,[],['J Fujian Med Univ'],[],1672-4194,Journal of Fujian Medical University,journal,
7,68efb255-b843-4a39-bb48-c6633bd9fffc,[],['Gift Child Today'],"['https://journals.sagepub.com/home/gct', 'http://ea3se7mz8x.search.serialssolutions.com/?C=GIFTCHITOW&L=EA3SE7MZ8X&S=JCs&T=marc&V=1.0']",1076-2175,Gifted Child Today,journal,http://gct.sagepub.com/
8,1eed6d07-5f70-41f3-909a-476667a63f93,[],['Palgrave Macmillan Anim Ethics Ser'],[],2634-6672,The Palgrave Macmillan Animal Ethics Series,,
9,98ce7006-762a-4432-b778-1ff8ea1e0d41,[],['J Assist Dialogue Commun Stud'],[],2188-2177,Journal of Assisting Dialogue and Communication Studies,journal,
10,47289a36-b45f-4971-91c2-1bc34432901f,[],"['The National Legal Eagle', 'National leg eagle', 'National Leg Eagle']",[],0813-9741,National legal eagle,journal,http://epublications.bond.edu.au/nle/
11,5f1a184c-b1c8-4181-bda7-8d88a2128d59,[],['KSTU News'],[],1997-3071,KSTU News,journal,
12,8049c00b-3e28-4e26-b5b4-ad8cd5b79341,[],['Verhandlungen Hist Vereins Oberpfalz Regensbg'],['http://www.hvor.de/vhvo.html'],0342-2518,Verhandlungen des Historischen Vereins für Oberpfalz und Regensburg,,https://www.bayerische-landesbibliothek-online.de/verhandlungen-oberpfalz
13,9345ba82-fd1c-4a37-9300-d26c4ac63c05,[],['Open Gene Ther J'],[],1875-0370,The Open Gene Therapy Journal,journal,https://benthamopen.com/TOGTJ/home/
14,66681cb8-9e76-4849-b05f-4d39d094cddf,['2466-9660'],['Informationen (europäisches Parlam'],[],0531-4313,Informationen (Europäisches Parlament),,
