,corpusid,model,text
0,2833,tldr@v2.0.0,"The (1 + 2/e)-approximation algorithm of Chudak and Shmoys is modified to obtain a new (1.6774,1.3738)- approximation algorithm for the UFL problem, and the linear programing rounding algorithm is the first one that touches the approximability limit curve $(gamma_f, 1+2e^{-\gamma-f})$ established by Jain et al."
1,5447,tldr@v2.0.0,"‘Disco’ clams are known for their vivid flashing displays, but their vision was examined to see if their display is visible to other disco clams as a signal and it is likely that their vision is instead used to detect predators."
2,5594,tldr@v2.0.0,Multiple carcinomatous lesions in the esophagus are defined as lesions separated one another as well as the findings at the margins.
3,5730,tldr@v2.0.0,"The Liu et al. model for salient object detection is modified, which combines multi-scale contrast, center–surround histogram and color spatial distribution with conditional random fields with a combination of Symmetric Kullback–Leibler divergence and Manhattan distance instead of chi-square measure."
4,6723,tldr@v2.0.0,"A number of traditional Guinean plant species used against malaria/fever showed, in addition to their antiplasmodial properties and antimicrobial activity, the fact that some plant species are involved in the traditional treatment of malaria/Fever without any antiplAsmodial evidence may be justified by their antimicrobial activities."
5,8304,tldr@v2.0.0,"Advances in nonfusion techniques for the treatment of scoliosis in children include the growing rod, stapling, pedicle screw tethering, the vertical expandable prosthetic titanium rib (VEPTR), and multi‐vertebrae wedge osteotomy."
6,11977,tldr@v2.0.0,An overview of global trends in the deployment of medical imaging is presented and some of the key issues and challenges which are faced by developing countries in its implementation are highlighted.
7,12084,tldr@v2.0.0,The survey showed that more than half of the 1081 pilots who responded could provide details about utilizing a previous case in responding to a critical flight event and that a training system that incorporates case-based learning would be a potentially useful means of improving pilot decision making.
8,12453,tldr@v2.0.0,"Both biasten and benacort in combination with salben provide BA control, reduce severity of free radical oxidation disorders."
9,13578,tldr@v2.0.0,"It is demonstrated that a discriminative approach for learning an optimum set of templates, under a family of transformations, namely frequency transpositions and perturbations of the vocal tract length, improves frame classification performance over standard translation-CNNs and DNNs on TIMIT and Wall Street Journal datasets."
10,14340,tldr@v2.0.0,"Patients with high WHD, and thus high costs, can be identified early if some factors could be modified, and the latter two factors are potentially modifiable and deserve prospective study."
