corpusid,openaccessinfo,abstract,updated
98872276,"{'externalids': {'MAG': '2383885292', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","It is described in this article the simultaneous determination of nicotinic acid,nicotinamide and 3-cyanopyridine in industrial effluent from a nicotinamide manufacturing plant with high performance liquid chromatographic method. The limits of detection(S/N=3) ranged from 0.70 to 1.18 mg/L,the recoveries ranged from 87 % to 102 % and the precision expressed as % RSD varied from 0.9 to 3.9.This method is rapid,sensitive and suitable for the monitoring method.",2022-02-10T12:05:44.227Z
98867082,"{'externalids': {'MAG': '2383125972', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","A multiresidue method is described for the determination of 13 pesticides commonly used in leafy-vegetables which customarily used in eastern of China. 5 g of samples are extracted with ethyl acetate, then analyzed by LC-ESI(+)-MS-MS, without further clean-up steps. The obtained correlation coefficient was ranged from 0.9986 to 0.9998. The average recoveries for the pesticides ranged from 82.1 % to 96.3 %, with the relative standard deviations (RSDs) were less than 8.9% for all compounds. The calculated LOQs (μg/kg) were 9.0μg/kg, lower than the maximum residue limits (MRLs) listed in the positive list. The proposed method is easy,fast and sensitive.",2022-02-10T12:07:28.697Z
98615984,"{'externalids': {'MAG': '2187073069', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Fermentation is brought about by the conversion of sugars into ethanol chemically (Ganguly, 2012a). The fermentation technology applicable to food processing sector is also popularly known as zymology or zymurgy. Fermentation is an important and popular technique in food processing technology. It is resulted from the chemical reaction resulting from the breakdown of higher carbohydrates to alcohols and organic acids or alcoholic derivatives.",2022-02-10T12:25:48.045Z
132609179,"{'externalids': {'MAG': '2386450557', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","On the basis of redefining the conception of Ecologic al Carrying capacity(ECC) in coal mining area,the index systems and quantitative method for ECC in ecologically fragile coal mining area were put forward including ecological elastic capacity,resources and environment carrying capacity and ecosystem pressure.The situation of ECC in yushen mining area is calculated and analyzed.the results are that ECC of yushen mining area in 2004 belongs to ""the instable、medium to carrying and strong pressing district"",and the ecosystem is more than frail.The primarily restricted factor to ecosystem is hydrology and vegetation.Resource and environment of yushen mining area attribute to medium to carrying.The strong pressing districted resource is land and water.The measures were put forward to mining area in boosting up sustainable development.",2022-02-09T13:30:25.892Z
124942448,"{'externalids': {'MAG': '2351401835', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}",The definitions of directed plane and normal direction of plane are given;a property of convex polygon and a new algorithm called optimal-plane linear programming are discussed meanwhile.,2022-02-09T18:23:29.612Z
131998980,"{'externalids': {'MAG': '2463613381', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}",": The paper gives the recent results of researches made at the F.F. Erisman Federal Hygiene Research Center on water-supply hygiene. It presents a functional model of comprehensive assessment of the factors determining the sanitary reliability of drinking water supply, shows the specific features of formation of conditions for water consumption in a number of regions of the Russian Federation and the risk of a water factor to human health, and substantiates the mechanism of water quality control and management at the regional level.",2022-02-09T13:41:55.435Z
132059855,"{'externalids': {'MAG': '2932965237', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","A straight traveling hydraulic circuit is provided. In case of performing a combined operation in which a fine operation of a working device and a fine traveling of a traveling device are simultaneously required, the straight traveling hydraulic circuit can allow the working device and the traveling device to operate independently, and thus prevent a declination or sudden traveling of the equipment. In case of performing the combined operation by simultaneously operating the traveling device and the working device, first and second center bypass shifting valves installed on the lowermost stream side of first and second center bypass passages are shifted by a pilot signal pressure that shifts a straight traveling valve installed on an upper stream side of the second center bypass passage, so that the degree of opening of the first and second center bypass passages is reduced to operate the working device and the traveling device independently.",2022-02-09T13:41:02.806Z
128124076,"{'externalids': {'MAG': '2914662518', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Pembelajaran matematika membekali siswa dengan kemampuan berpikir 
logis, analitis, sistematis, kritis dan kreatif. kemampuan pemecahan masalah 
memiliki peranan yang sangat strategis dalam mengembangkan potensi intelektual 
anak. Selain itu, karakter menjadi salah satu tujuan pembelajaran, Karakter yang 
sering disoroti dalam mendidik siswa yaitu karakter jujur. Penelitian ini bertujuan 
untuk mengetahui ketuntasan pembelajaran siswa, peningkatan kemampuan 
pemecahan masalah siswa, dan peningkatan karakter jujur siswa kelas VIII dengan 
Pembelajaran Project Based Learning. 
Metode penelitian yang digunakan dalam penelitian ini adalah Pretest 
Posttest-Only Control Design. Populasi dari penelitian ini adalah siswa kelas VIII 
SMP Negeri 5 Taman Pemalang. kemudian diambil dua kelompok sampel kelas, 
yaitu VIIIA dan VIIIE. Data diambil melalui dokumentasi, observasi, tes, dan 
dianalisis. 
Hasil penelitian ini adalah 1) persentase ketuntasan tes kemampuan 
pemecahan masalah siswa kelas eksperimen lebih dari 75%; 2) terdapat 
peningkatan kemampuan pemecahan masalah siswa kelas eksperimen dengan 
Pembelajaran Project Based Learning ditunjukkan dengan, rata-rata postes lebih 
dari rata-rata pretes kemampuan pemecahan masalah kelas eksperimen, indeks gain 
menunjukkan peningkatan kemampuan pemecahan masalah sebesar 0,66 (kategori 
sedang), rata-rata peningkatan kemampuan pemecahan masalah kelas eksperimen 
lebih dari rata-rata kelas kontrol; 3) terdapat peningkatan kemampuan pemecahan 
masalah siswa kelas eksperimen dengan Pembelajaran Project Based Learning 
ditunjukkan dengan, rata-rata postes lebih dari rata-rata pretes karakter jujur siswa 
kelas eksperimen, indeks gain menunjukkan peningkatan karakter jujur sebesar 
0,25 (kategori rendah), rata-rata peningkatan karakter jujur siswa kelas eksperimen 
lebih dari kelas kontrol.",2022-02-09T15:44:00.917Z
126356810,"{'externalids': {'MAG': '2776377754', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","(57) Abstract: Method and apparatus for compensating for repeatable runout errors in a disk drive (100) is disclosed. Compensation (228) is generated by determining a transfer function values ​​for a servo loop (232) in the drive (100) with a sequence of repeatable run out values ​​for a portion of the disk. Reproducibility runout value is divided by the transfer function values, the compensation value is generated to obtain the inverse transformed in time and space compensation value (228). These time-space compensation value (228) is injected into the servo loop (232), to compensate for repeatable runout errors.",2022-02-09T16:18:25.538Z
126156839,"{'externalids': {'MAG': '2883107420', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Sebagai negara berkembang, saat ini Indonesia sedang memacu pembangunan di segala bidang, salah satunya pembangunan di bidang infrastruktur. Pembangunan di bidang tersebut memerlukan berbagai macam bahan baku yang digunakan dalam membangun gedung, salah satunya adalah produk yang dibuat dari Polivinil Klorida (PVC). Dalam proses produksi PVC bahan utama yang digunakan adalah vinil klorida monomer yang dibuat dari etilen diklorida (EDC). Untuk memenuhi kebutuhan pasar dibutuhkan pembangunan pabrik EDC yang baru. 
Inti dari proses pembuatan EDC adalah reaksi fase gas anatara etilen dan klorin yang dilakukan di dalam sebuah fix bed reaktor yang bekerja pada suhu 75-200°C dan tekanan 1,5 atm. Untuk memperoleh kondisi feed sesuai yang diinginkan, campuran gas etilen dan klorin dipanaskan lebih dahulu di dalam sebuah heat exchanger sebelum dimasukkan ke dalam reaktor. Hasil yang keluar dari reactor dikondensasikan secara parsial di dalam kondensor. Cairan yang keluar dari kondensor selanjutnya dimurnikan di dalam menara distilasi, sedangkan gas yang keluar dari kondensor selanjutnya didinginkan dan dimasukkan kedalam scrubber untuk menangkap gas HCl sebelum di recycle untuk digabungkan dengan fresh feed. gas etilen dan klorin. Hasil pencucian di Scrubber adalah larutan HCl 19,5% yang dijual sebagai produk samping. Produk utama dari pabrik ini berupa etilen diklorida (EDC) 99,85% di peroleh dari hasil tas menara distilasi, sedangkan produk bawah menara distilasi berupa trikloro etana (TCE) 86% yang juga dijual sebagai produk samping 
Prarencana pabrik EG berbahan baku etilen oksida dan air memiliki rincian sebagai berikut : 
Bentuk perusahaan : Perseroan Terbatas (PT) 
Produksi 
• Produk utama : Etilen Diklorida atau Ethylene Dichloride (EDC) 99,8% 
• Produk Samping :Trikloro etana (TCE) 86% dan HCl 19,5% 
Status perusahaan : Swasta 
Kapasitas produksi : 150.000 ton/tahun 
Hari kerja efektif : 330 hari/tahun 
Sistem operasi : Kontinyu 
Masa konstruksi : 2 tahun 
Waktu mulai beroperasi : 2021 
Bahan baku : Etilen, klorin dan oksigen 
Kebutuhan bahan baku : Etilen sebesar 47.069 ton/tahun Klorin sebesar 124.652 ton/tahun 
 Oksigen sebesar 72,59 kg (pada saat start up saja) 
Utilitas : Air sebesar 197,78 m3/hari, listrik sebesar 2.723,883 
kW, LNG sebesar 423,99 kg/hari, solar 
industrial diesel oil sebesar 1,85 m3/bulan, saturated steam 120oC sebesar 179.739,83 kg/hari 
Jumlah tenaga kerja : 108 orang 
Lokasi pabrik : Kawasan industri Cilegon, Provinsi Banten 
Luas pabrik : 19.000 m2 
Dari hasil analisa ekonomi yang telah dilakukan, didapatkan : 
• Fixed Capital Invesment (FCI) : Rp 1.207.957.406.093 
• Working Capital Investment (WCI) : Rp 299.409.403.972 
• Total Production Cost (TPC) : Rp 2.938.956.041.698 
• Penjualan per tahun : Rp 3.359.376.412.393 
Analisa ekonomi dengan metode Discounted Cash Flow: 
• Rate of Return on Investment(ROI) sesudah pajak : 26,27% 
• Rate of Return on Equity (ROE) sesudah pajak : 56,26% 
• Pay Out Time (POT) sesudah pajak : 4 tahun 2 bulan 19 hari 
• Break Even Point (BEP) : 53,27%",2022-02-09T16:26:20.507Z
