affiliation,authorID,type
MdAikMtKca,2067594712,company
Ef2w4xXkV2,13880511,company
TvmG286olA,2043169608,company
A8faEjP9uE,71361836,company
CXbKPTOjlL,2100067713,company
TLgcHMTKEb,2138485499,university
TvmG286olA,83500001,company
TLgcHMTKEb,146977915,university
3C3ZrgbLiX,1693719029,company
muTx7C3aQQ,1396536635,university
IwvKaPs7nx,93986161,university
IAAHNBJQ8S,92462721,university
zylF7uMpph,14590594,company
zylF7uMpph,50281777,company
qc8esXYwNM,2168630911,university
muTx7C3aQQ,103219250,university
He7w7yNxKI,16178356,company
CXbKPTOjlL,1514156310,company
qc8esXYwNM,2134056998,university
lUAHVNGaRO,1485468698,university
nd7bKN37mP,2046668139,company
QzlzGOiCMF,148592514,university
1EZfzIjF5A,2077347087,company
Hji11I565l,31886832,university
muTx7C3aQQ,134791480,university
zylF7uMpph,101017575,company
x3nzgFOaqM,103975134,company
IwvKaPs7nx,148613475,university
MdAikMtKca,122841322,company
rLo4zQfpvI,101367559,company
zylF7uMpph,135267337,company
AJLY9ogB1E,2078702342,company
bJWe09CpXg,2167972193,university
He7w7yNxKI,82146055,company
QzlzGOiCMF,2067320977,university
x3nzgFOaqM,88167625,company
MdAikMtKca,2081153906,company
x3nzgFOaqM,133937740,company
VkazC7swZQ,2075582758,university
JSGHuc9MLB,145193808,university
UwHSmaVN9T,2138899517,university
JSGHuc9MLB,13064652,university
MdAikMtKca,2104999739,company
CXbKPTOjlL,67091075,company
zylF7uMpph,2073082007,company
4G7921tYjo,81430906,company
PxHvBseSaZ,3329482,company
RE6zRR2HAD,2103184981,university
TLgcHMTKEb,2146302858,university
dyQpF94K70,2158554218,company
JSGHuc9MLB,81746997,university
rLo4zQfpvI,115244026,company
RE6zRR2HAD,119887786,university
x3nzgFOaqM,70460260,company
AgIZOB11nT,2096345855,company
A8faEjP9uE,88433377,company
sf1zujlMLk,2084179734,university
dyQpF94K70,71060010,company
PzeLRcmqMn,2052046787,company
a8lX8EcDg7,2064735628,university
Kpdi4o1VIk,2130826928,university
4G7921tYjo,117072575,company
AJLY9ogB1E,2186485267,company
RE6zRR2HAD,2055533369,university
dyQpF94K70,2105954179,company
dyQpF94K70,2162899653,company
KTGRNehQOs,121585625,company
muTx7C3aQQ,2091352504,university
koLLBLF4Kh,2105886067,university
AJLY9ogB1E,1431923855,company
sf1zujlMLk,71932904,university
He7w7yNxKI,2097215416,company
UwHSmaVN9T,2188219626,university
sf1zujlMLk,2188951687,university
dyQpF94K70,87926302,company
VkazC7swZQ,102416739,university
Hji11I565l,121783265,university
IAAHNBJQ8S,122431363,university
sf1zujlMLk,152666964,university
PxHvBseSaZ,143975798,company
sf1zujlMLk,1409266005,university
JSGHuc9MLB,48393866,university
IAAHNBJQ8S,147965377,university
koLLBLF4Kh,82307164,university
Hji11I565l,1414035704,university
Kpdi4o1VIk,2164949231,university
Hji11I565l,83723095,university
zylF7uMpph,102147990,company
f3kNmwwyOf,1478581801,university
Ef2w4xXkV2,105003095,company
PzeLRcmqMn,150134500,company
Hji11I565l,2133000440,university
rLo4zQfpvI,2100667744,company
a8lX8EcDg7,2079741014,university
TvmG286olA,2111149699,company
zylF7uMpph,98502447,company
RE6zRR2HAD,1998634153,university
f3kNmwwyOf,2077232750,university
IwvKaPs7nx,2198810921,university
lUAHVNGaRO,25842431,university
