company,companyid
Thermo Fisher Scientific,1EZfzIjF5A
"Illumina, Inc.",KTGRNehQOs
Qiagen,dyQpF94K70
Agilent Technologies,PzeLRcmqMn
"PerkinElmer, Inc.",4G7921tYjo
Waters Corporation,Ef2w4xXkV2
"Bio-Rad Laboratories, Inc.",He7w7yNxKI
Danaher Corporation,PxHvBseSaZ
Roche Diagnostics,rLo4zQfpvI
"Becton, Dickinson and Company",3C3ZrgbLiX
Oxford Nanopore Technologies,zylF7uMpph
"Pacific Biosciences of California, Inc.",nd7bKN37mP
Bruker Corporation,OY1ibQYV9f
10x Genomics,x3nzgFOaqM
"NanoString Technologies, Inc.",TvmG286olA
Fluidigm Corporation,CXbKPTOjlL
Zymo Research,MdAikMtKca
NEB (New England Biolabs),AJLY9ogB1E
Genscript Biotech Corporation,AgIZOB11nT
Promega Corporation,A8faEjP9uE
