conferenceID,conferenceName,issn,url
a102dbc1-4d9a-43f8-a08a-5a1d92e82456,J-ICOM - Jurnal Informatika dan Teknologi Komputer,2774-7115,https://ejurnalunsam.id/index.php/jicom
aca4c072-2af3-4aa0-9082-5da7c43b7ef8,OECD Reviews of Tertiary Education,1997-8936,
cc681e77-2c3e-4013-aabc-f630f6e6f08c,Jahrbuch der Hafenbautechnischen Gesellschaft,0340-4838,
fc4745c3-3aad-475f-b49b-8371f1094f30,Kafkas Üniversitesi harakani dergisi,2147-6950,http://www.dergipark.ulakbim.gov.tr/harakani
eaf5570e-c957-4c61-b2cd-519a3d8e7867,Zonguldak karaelmas üniversitesi sosyal bilimler dergisi,1303-9245,
28f9347e-5fc9-4d48-9aee-d37d04a38ef5,Behaviorists for Social Action journal,0739-5051,
22ef783b-3e8e-413c-ab3f-baee9eb5849e,Sensing the Past,2365-0583,
3185ac11-0ec1-47a2-b36c-bb6dfd149369,Science Spectra,2155-2193,http://www.crcnetbase.com/series/crcscispectr
b12cf97a-d619-4bb5-b839-c6e5039a3a95,International Conference on Parallel and Distributed Processing Techniques and Applications,,
a6a1a41a-3ab7-4aa2-b22e-9820e8a38a23,Jurnal Formil (Forum Ilmiah) Kesmas Respati,2502-5570,http://formilkesmas.respati.ac.id/index.php/formil
6d155327-244f-4c4a-b190-d8fa5e134f5f,Química e industria,0033-6521,
d8f51555-a885-4969-a127-62445f83f78d,Sustainable Technologies for Green Economy,2669-2457,
7926a817-84d9-4b9c-91c7-5a65cd58485d,Rect@,1575-605X,http://www.revistarecta.com/
711aedcd-81df-46df-b3c0-38080582f352,"Progress in nuclear energy.  Series 9, Analytical chemistry",0079-6530,
29aa1303-a2fe-4fe8-b734-37b5c39ea0e5,L Endocrinologo,1590-170X,https://link.springer.com/journal/40619
a92294fa-a251-4e23-b0cf-7277635a0a2b,The chronic*ill,1811-9514,http://www.mcppnet.org/
14c7a48b-98e9-460d-a6e6-108382ea62ee,Hematology Blood Transfusion & Disorders,2572-2999,http://www.heraldopenaccess.us/journals/Hematology-Blood-Transfusion-&-Disorders/archive.php
3cde6ffd-3dc9-419e-af6e-8614c53dbfa3,Bollettino metallografico. Metallurgical bulletin,0006-6826,
2436ce5d-4b40-47fb-89b4-1ce4e3af486a,Dorsal,0719-7519,http://www.revistas.cenaltes.cl/index.php/dorsal
735883d7-6789-44eb-9beb-2ad94c6234eb,Beiträge zur älteren Deutschen Literaturgeschichte,0171-6751,
3b9c0820-b6ae-4211-bdb2-95924d7737c0,States of Fragility 2020,2708-8596,
2f33a1bb-652a-4f64-b509-59e2634ca0e3,International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,,
0d4aa6cd-0c3a-4c4a-ad52-448b81b3374c,Den Ny Verden - Tidsskrift for internationale studier,0029-6775,
