venueID,journalName,pages,volume
150d6b67-229b-426e-a788-fad8eb7d865b,Progress in Molecular Biology and Translational Science,56,35
ce14d96f-5a7e-4d0f-85e8-09c47ef55658,Journal of Electronic Publishing,49,49
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,Vetus Testamentum (Print),200,44
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,Columbia Undergraduate Research Journal,56,21
6923a4de-0158-4db9-a57a-504224d54726,Gomal journal of Medical Sciences,155,21
1ab115e4-3ac5-49d4-80d9-13a2b2554585,The Society for Neuroscience Abstracts,30,56
e5be1ceb-b87d-4a03-8b68-32b1d20eb8a0,Wiley Interdisciplinary Reviews: Cognitive Science,82,6
69178f84-d74c-466a-bc6b-3ed49eac2dfb,University of Aden Journal of Natural and Applied Sciences,299,73
5911a4e7-9457-410d-aeac-3f50fb9914c1,Jiangxi Plant Protection,221,66
1f60c8dd-b90f-4788-95fc-be7c8a7839e3,Jiaokewen zuzhi xinshi,46,97
aab05c46-b552-49b3-8c8d-359b187a0e8e,Insect Biochemistry,122,93
fe3e5273-0175-45da-a800-44dd748c7d42,European Journal of Interdisciplinary Studies,117,43
849f3ecc-1cec-40a3-aa8c-b139d55d1d55,The Pharmacogenomics Journal,75,81
080bca44-1b9e-4435-928c-ad4ee0862cfe,Journal of Bioenergetics,60,82
c3ed17cb-4f66-440b-8351-2373a875c73b,e-Journal Perdagangan Industri dan Moneter,108,69
792c429b-4dc9-40af-a850-fbb184e746d2,The Journal of Quality in Education,257,49
908ffdc7-1881-48e2-8d91-7378e07e9b10,Journal of Biometrics & Biostatistics,263,25
ae76f356-2647-4e7a-88e2-6d056ee7236b,ArtGRID - Journal of Architecture Engineering and Fine Arts,169,56
08742a00-e0df-4430-b91e-498a1ba49f86,Journal of Outdoor and Environmental Education,34,69
98ccea98-601f-47cc-b854-138474b1dfad,IAMURE International Journal of Social Sciences,223,10
de1c89c3-8027-49a7-918e-7db82e28cf2d,World Class Design to Manufacture,236,4
ece45316-66b5-4353-aa99-7b1ba3b01283,Contemporary Journal of Anthropology and Sociology,113,54
d86752e0-abb1-4ecf-b0c2-0311f04469ef,病院,150,96
ed21e87e-0016-45c3-84c4-bb4fe7b2e123,Prosperity Journal of Society and Empowerment,229,48
73d093c1-8337-42f4-81eb-8432fff98988,Tax and Accounting Review,94,69
7c599b54-fd06-4041-a1ff-cc9c365a7674,Journal of Medicine and Pharmacy of Chinese Minorities,61,95
4942ecb2-e091-400d-9bb0-f756783ef8f6,Journal of Medical Physics,208,58
cb7cebce-dce4-46e7-b100-0cb8b3259d45,Alford Council of International English & Literature Journal,260,39
3c88d731-8e9f-44ce-925f-7f127f3058c3,Journal of the Ancient Near Eastern Society (JANES),196,67
6127bb81-72e6-4b69-8252-8f9ef3f89138,The Japanese Journal of Artificial Organs,286,14
25413fce-daa6-4966-89bc-55e0298dff26,Journal of Architectural Research and Education,218,29
e7cc5ed2-0fd3-487f-b9e6-5cfeccfc586f,Journal of Pediatric & Prenatal Nutrition,289,32
bd90cd7b-1b4c-41e1-a343-0a79c3529dcd,Universal Journal of Business and Management,130,65
983b71a5-6bcd-4b8c-9548-da5e394f98c7,Information Engineering and Applied Computing,132,98
756276ef-65b9-47bf-843d-ff4617562e31,Revista de Ciencias Agropecuarias ALLPA,72,44
9b07daf4-3c7e-4798-847b-5005416bc8d5,Vaccine,98,69
42af0896-7bcc-4002-8d09-63fd18f13f53,Journal of Internet Services and Applications,99,62
d32db781-0456-4ec4-ac3e-16204ab31511,IJBMS - International journal of basic medical sciences,282,94
a53f3622-e7cb-466e-84e5-28508b3f4597,Journal of Parasite Science,233,100
b33d02b1-3930-49ab-877f-9bb7aec157ed,Hereditas (Beijing),44,33
547e322a-b22a-4af5-967d-98a180030164,African Journal of Legal Studies,278,44
37e4541f-9234-421a-a8af-9f0bb589bcf1,Journal of Global Responsibility,232,29
2687ab26-ba81-499f-99bc-429b2d06eec4,Mosaic-a Journal for The Interdisciplinary Study of Literature,286,17
4b903a2e-6a88-49e8-9e6a-fe6bc2dad1a1,Murmurations: journal of transformative systemic practice,33,77
d449d6c1-6429-425b-8781-21d83a43b2b9,"Espacio, Tiempo y Educación",92,89
ca85e095-01ae-4ac6-bf06-e7bf247982a7,Journal of Computer Aided Chemistry,245,41
04b5f30c-6cc9-4eb8-a02c-4b182ba49f8d,Journal of Big History,213,28
cd13dd48-a3de-49bd-bb2a-cbfb586b6305,Indian Journal of Dental Sciences,259,44
0e6ba08b-72c4-41cb-a80a-fa71086d43cd,Journal of engineering and technology management,61,54
0477a04b-59bb-4e44-9505-214965eb65fc,Indonesian Language Education and Literature,222,65
53945836-0f14-4b26-bc94-01ba9a256e49,The Chitrolekha Journal on Art and Design,165,23
7628e042-fdc2-4a76-a90c-52300d75febf,Journal of Chongqing Institute of Technology,194,8
8cb5648b-7f28-4260-b373-9077e32a7f23,Journal of HIV/Aids Prevention & Education for Adolescents & Children,182,14
