venueID,paperID,year,volume,startPage,endPage
792c429b-4dc9-40af-a850-fbb184e746d2,186558631,1983,2,21,39
a53f3622-e7cb-466e-84e5-28508b3f4597,171643354,1951,20,49,58
25413fce-daa6-4966-89bc-55e0298dff26,177916338,1966,20,82,150
73d093c1-8337-42f4-81eb-8432fff98988,182121367,1987,17,5,102
ce14d96f-5a7e-4d0f-85e8-09c47ef55658,185051455,2010,13,10,103
c3ed17cb-4f66-440b-8351-2373a875c73b,172527090,2020,8,70,132
9b07daf4-3c7e-4798-847b-5005416bc8d5,174356570,1995,14,1,15
5911a4e7-9457-410d-aeac-3f50fb9914c1,180714205,1949,18,89,171
ce14d96f-5a7e-4d0f-85e8-09c47ef55658,222530497,1984,1,82,164
150d6b67-229b-426e-a788-fad8eb7d865b,228269409,2008,10,19,103
bd90cd7b-1b4c-41e1-a343-0a79c3529dcd,183976475,2006,17,72,90
d449d6c1-6429-425b-8781-21d83a43b2b9,173725498,1950,11,71,140
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,181402158,2013,16,44,95
e5be1ceb-b87d-4a03-8b68-32b1d20eb8a0,174756415,1967,15,44,141
4b903a2e-6a88-49e8-9e6a-fe6bc2dad1a1,184773283,1962,18,49,97
9b07daf4-3c7e-4798-847b-5005416bc8d5,224620908,1947,13,7,83
6127bb81-72e6-4b69-8252-8f9ef3f89138,69054383,1971,15,65,139
849f3ecc-1cec-40a3-aa8c-b139d55d1d55,216674688,1956,16,69,75
983b71a5-6bcd-4b8c-9548-da5e394f98c7,220786705,2004,20,100,137
c3ed17cb-4f66-440b-8351-2373a875c73b,218394640,1945,20,2,66
1f60c8dd-b90f-4788-95fc-be7c8a7839e3,103420712,2003,15,29,66
bd90cd7b-1b4c-41e1-a343-0a79c3529dcd,156892454,1954,2,73,129
53945836-0f14-4b26-bc94-01ba9a256e49,118679332,1963,10,15,52
3c88d731-8e9f-44ce-925f-7f127f3058c3,152222401,1990,18,25,75
b33d02b1-3930-49ab-877f-9bb7aec157ed,68477016,1953,5,16,75
fe3e5273-0175-45da-a800-44dd748c7d42,232544331,1981,13,45,75
792c429b-4dc9-40af-a850-fbb184e746d2,76242106,1984,11,89,90
cd13dd48-a3de-49bd-bb2a-cbfb586b6305,172058121,1953,20,96,165
a53f3622-e7cb-466e-84e5-28508b3f4597,218510896,2023,18,70,91
150d6b67-229b-426e-a788-fad8eb7d865b,212514582,1966,8,1,55
9b07daf4-3c7e-4798-847b-5005416bc8d5,201228884,1949,7,12,69
150d6b67-229b-426e-a788-fad8eb7d865b,236084343,1994,4,12,18
08742a00-e0df-4430-b91e-498a1ba49f86,228057707,1973,10,53,77
4b903a2e-6a88-49e8-9e6a-fe6bc2dad1a1,222445728,2022,10,69,167
ed21e87e-0016-45c3-84c4-bb4fe7b2e123,218116915,2007,8,81,149
547e322a-b22a-4af5-967d-98a180030164,196164276,1968,3,55,151
d449d6c1-6429-425b-8781-21d83a43b2b9,196112437,1999,1,15,20
849f3ecc-1cec-40a3-aa8c-b139d55d1d55,194780130,2015,11,86,116
fe3e5273-0175-45da-a800-44dd748c7d42,199349426,1966,2,16,88
547e322a-b22a-4af5-967d-98a180030164,198755652,1949,12,66,115
98ccea98-601f-47cc-b854-138474b1dfad,195010030,1945,14,7,20
cb7cebce-dce4-46e7-b100-0cb8b3259d45,231108047,1986,8,69,166
d32db781-0456-4ec4-ac3e-16204ab31511,224350738,2011,8,40,140
5911a4e7-9457-410d-aeac-3f50fb9914c1,212007178,1995,10,11,95
ece45316-66b5-4353-aa99-7b1ba3b01283,113202733,2018,8,79,105
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,110887031,2016,6,73,92
2687ab26-ba81-499f-99bc-429b2d06eec4,115514548,1949,9,33,105
ece45316-66b5-4353-aa99-7b1ba3b01283,107886285,2002,3,24,84
3c88d731-8e9f-44ce-925f-7f127f3058c3,107737299,1956,15,96,190
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,106761490,1972,9,74,142
4942ecb2-e091-400d-9bb0-f756783ef8f6,90222727,1997,15,50,70
