paperID,keyword
231296531,virtual reality
186558631,genetics
186558631,data modeling
186558631,immunology
171643354,chemical engineering
171643354,biochemistry
171643354,gender studies
171643354,logistics
178214411,machine learning
177916338,supply chain management
177916338,biomedical engineering
177916338,transportation
177916338,deep learning
177916338,information retrieval
182121367,leadership
182121367,biotechnology
182121367,indexing
182121367,gender studies
185051455,marketing
185051455,physiology
213445925,gender studies
213445925,deep learning
213445925,economics
213445925,political science
172527090,data querying
172527090,renewable energy
180265381,physiology
180265381,biochemistry
180265381,transportation
180265381,sociology
174356570,linguistics
174356570,data science
180714205,film studies
180714205,library science
180714205,medical devices
180714205,genetics
222530497,social media analytics
222530497,accounting
222530497,curriculum development
228269409,genetics
228269409,civil engineering
228269409,accounting
228269409,mechanical engineering
175934085,neurology
182728769,sociology
183976475,data visualization
183976475,operations management
163332018,gender studies
163332018,sustainability
173445737,indexing
173445737,developmental biology
173445737,business intelligence
173445737,curriculum development
173445737,biophysics
173725498,indexing
181402158,developmental biology
204618292,biophysics
174756415,bioinformatics
174756415,education
184773283,electrical engineering
224620908,data modeling
224620908,electrical engineering
224620908,musicology
224620908,biomedical engineering
69054383,electrical engineering
69054383,blockchain
216674688,materials science
216674688,entrepreneurship
216674688,internet of things
216674688,information retrieval
220786705,organizational behavior
220786705,instructional design
220786705,cloud computing
220786705,transportation
220786705,geology
218394640,economics
218394640,virtual reality
103420712,data querying
156892454,immunology
156892454,data management
156892454,supply chain management
156892454,psychiatry
178654921,chemistry
201850701,physics
201850701,mathematics
118679332,bioinformatics
118679332,psychology
118679332,instructional design
118679332,organizational behavior
152222401,molecular modeling
152222401,molecular biology
68477016,data mining
68477016,geology
192908649,computer vision
192908649,film studies
192908649,pharmacology
159318811,biochemistry
159318811,molecular biology
159318811,virtual reality
151087503,musicology
151087503,computational biology
151087503,data storage
151087503,gender studies
173613127,psychology
224407029,theology
224407029,cultural studies
172111010,neurology
172111010,cultural studies
232544331,biophysics
232544331,text mining
232544331,microbiology
232544331,human resource management
228456837,psychiatry
228456837,accounting
228456837,medical imaging
76242106,supply chain management
76242106,accounting
76242106,immunology
76242106,chemistry
76242106,literature
172058121,materials science
172058121,language learning
172058121,microbiology
218510896,evolutionary biology
218510896,aerospace engineering
218510896,fine arts
218510896,sustainability
218510896,artificial intelligence
218752693,biochemistry
218752693,biotechnology
234094375,paleontology
234094375,immunology
234094375,supply chain management
234094375,developmental biology
234094375,medical imaging
201039868,language learning
116969730,cloud computing
212514582,finance
241187165,history
241187165,management
241187165,curriculum development
241187165,developmental biology
241187165,physics
218372563,human resource management
218372563,augmented reality
218372563,sociology
218372563,physiology
137584809,health informatics
137584809,entrepreneurship
137584809,renewable energy
114583152,sustainability
201228884,economics
201228884,paleontology
201228884,information retrieval
201228884,chemical engineering
201228884,mathematics
211999293,computational biology
211999293,data modeling
211999293,social media analytics
236084343,geology
236084343,aerospace engineering
228057707,cultural studies
228057707,microbiology
228057707,chemical engineering
228057707,bioinformatics
223223731,physics
223223731,musicology
223223731,marketing
222445728,neuroscience
216771883,cancer research
216771883,robotics
216771883,sociology
216771883,big data
216771883,quantum computing
222201264,developmental biology
222201264,mechanical engineering
222201264,mathematics
218116915,transportation
218116915,theology
218116915,biotechnology
218116915,literature
218116915,civil engineering
204598423,civil engineering
204598423,cloud computing
203322470,gender studies
203322470,business intelligence
201974822,data science
201974822,big data
201974822,developmental biology
201974822,philosophy
201974822,data visualization
196164276,film studies
196164276,data storage
196164276,augmented reality
196164276,human resource management
196164276,mathematics
196112437,fine arts
196112437,augmented reality
196112437,neurology
196112437,genetics
194780130,psychiatry
194780130,logistics
194780130,education
194780130,aerospace engineering
194780130,augmented reality
199282780,data visualization
199282780,aerospace engineering
199282780,microbiology
199282780,organizational behavior
199282780,paleontology
199349426,health informatics
199349426,aerospace engineering
199217217,chemistry
199217217,logistics
199217217,biomedical engineering
198755652,civil engineering
198755652,economics
198755652,mechanical engineering
198755652,musicology
198755652,law
197965946,data science
195010030,psychiatry
234007880,health informatics
234007880,deep learning
234007880,robotics
232934559,history
232934559,data visualization
232934559,data storage
231108047,civil engineering
231108047,artificial intelligence
231108047,psychiatry
224350738,gender studies
224350738,big data
224350738,artificial intelligence
212007178,electrical engineering
207850137,psychiatry
207850137,aerospace engineering
117468083,cloud computing
117468083,theology
117468083,materials science
117468083,immunology
117108087,computational biology
113894244,virtual reality
113894244,human-computer interaction
113894244,paleontology
113894244,curriculum development
113202733,data querying
113202733,bioinformatics
113202733,medical devices
113202733,accounting
112593522,chemical engineering
112800869,psychology
112800869,internet of things
112800869,chemistry
112800869,film studies
112800869,renewable energy
112286665,biophysics
112286665,pharmacology
112286665,law
112286665,information retrieval
112286665,operations management
111231513,literature
111231513,molecular biology
111231513,developmental biology
111231513,theology
111088085,biomedical engineering
111088085,data modeling
110887031,data visualization
110887031,renewable energy
110887031,biophysics
118878312,data modeling
118878312,geology
119002715,psychiatry
119002715,computer vision
115514548,virology
115514548,law
107886285,literature
107886285,law
107886285,philosophy
107886285,social media analytics
107737299,bioinformatics
107737299,business intelligence
107737299,ecology
107737299,indexing
107737299,robotics
106761490,medical devices
106761490,molecular biology
90222727,law
90222727,psychiatry
90222727,health informatics
90222727,physiology
90222727,political science
