paperID,reviewerID,grade,review
231296531,1450198846,4,The research was informative.
231296531,2097271781,5,The paper was thorough.
186558631,2082590925,3,The study was interesting.
186558631,153882465,4,The analysis was well-written.
171643354,2091014731,4,The research was innovative.
171643354,104845279,3,The study was interesting.
171643354,114158330,5,The paper was insightful.
178214411,2112894234,4,The analysis was insightful.
178214411,145927576,4,The research was insightful.
178214411,146309922,5,The paper was interesting.
177916338,1456877617,1,The analysis was innovative.
177916338,1557299521,1,The analysis was interesting.
182121367,2094888131,1,The study was insightful.
185051455,2114231020,5,The research was interesting.
185051455,104845279,2,The manuscript was well-written.
185051455,96819751,3,The manuscript was thorough.
213445925,2114231020,5,The manuscript was interesting.
213445925,37338738,5,The research was informative.
213445925,66483450,2,The study was interesting.
172527090,2126607527,2,The research was innovative.
172527090,2197104635,4,The manuscript was thorough.
180265381,2154261821,4,The paper was informative.
180265381,2182481136,5,The research was insightful.
180265381,120028252,3,The paper was interesting.
174356570,116323493,2,The analysis was thorough.
174356570,115296882,4,The research was informative.
180714205,96819751,2,The paper was interesting.
222530497,104676033,2,The study was thorough.
222530497,2054485947,5,The manuscript was interesting.
222530497,94081963,1,The analysis was insightful.
228269409,2109645568,2,The manuscript was thorough.
228269409,114158330,3,The study was interesting.
228269409,118560939,1,The manuscript was interesting.
175934085,115296882,1,The analysis was insightful.
182728769,11453824,3,The paper was thorough.
183976475,1661088374,2,The paper was informative.
183976475,2053860743,4,The study was well-written.
163332018,11599607,1,The paper was informative.
173445737,145927576,3,The research was innovative.
173445737,2197104635,4,The manuscript was informative.
173445737,2074194496,4,The paper was interesting.
173725498,11453824,1,The research was interesting.
173725498,2082609384,1,The study was informative.
173725498,94081963,3,The study was innovative.
181402158,120028252,3,The research was well-written.
181402158,2114231020,4,The paper was informative.
181402158,93851527,2,The manuscript was interesting.
204618292,1557299521,2,The study was well-written.
174756415,116436254,3,The manuscript was informative.
174756415,2067837151,3,The paper was insightful.
174756415,2197104635,5,The analysis was interesting.
184773283,2082609384,4,The manuscript was interesting.
224620908,120607457,3,The paper was interesting.
224620908,97314877,2,The study was insightful.
69054383,1483980454,3,The manuscript was well-written.
69054383,31226976,4,The manuscript was informative.
216674688,145927576,4,The research was insightful.
216674688,2053860743,2,The manuscript was well-written.
216674688,2082590925,5,The paper was interesting.
220786705,2056345775,5,The paper was thorough.
220786705,2054485947,2,The analysis was informative.
220786705,108330326,4,The study was interesting.
218394640,2126607527,2,The research was informative.
218394640,82486910,5,The analysis was insightful.
103420712,1557299521,4,The paper was informative.
103420712,2154261821,1,The manuscript was interesting.
103420712,117379482,2,The manuscript was interesting.
156892454,1449277002,2,The manuscript was informative.
