journalID,volumeID,year,volume
150d6b67-229b-426e-a788-fad8eb7d865b,0rgcy89v-vdki-v9vp-ka1f-yeau2gcfjibs,1993,1
150d6b67-229b-426e-a788-fad8eb7d865b,14q4ctv7-4n7u-az61-8570-x6clf5qkvv9z,1993,2
150d6b67-229b-426e-a788-fad8eb7d865b,3yvbmfxa-woz8-6ds5-o84l-j82y3cai3mbq,1994,1
150d6b67-229b-426e-a788-fad8eb7d865b,wr10age6-wff1-a8ye-8zbu-q4c9v0wbk0ej,1994,2
150d6b67-229b-426e-a788-fad8eb7d865b,pfd7y8tj-syxi-8v7h-ky1d-i3bw22t1bk7u,1995,1
150d6b67-229b-426e-a788-fad8eb7d865b,769iv6g8-xovf-r6pn-uqzc-6fm6mbmrofuf,1995,2
150d6b67-229b-426e-a788-fad8eb7d865b,v98i8i45-zbq5-vzo6-ia5v-hdx3x0uwn2vm,1995,3
150d6b67-229b-426e-a788-fad8eb7d865b,lyd0y6ql-9yxe-shq6-udyd-ytg3up2r2wp3,1995,4
150d6b67-229b-426e-a788-fad8eb7d865b,6rvdlhb1-5i48-c48j-uxoc-36sauyoeqsk0,1995,5
150d6b67-229b-426e-a788-fad8eb7d865b,w1ca5kmc-r7k7-mt53-os7f-g289rm7ez02h,1995,6
ce14d96f-5a7e-4d0f-85e8-09c47ef55658,g2ywliya-0npa-0ifl-8r0k-ytebhzrd8mtt,1990,1
ce14d96f-5a7e-4d0f-85e8-09c47ef55658,9vbjtsm1-n5c1-ejkd-9oe2-mz18xenf2c8t,1990,2
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,j7gd04yv-lz1g-fcnj-itx6-0qs0l879faj7,1991,1
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,g3p94bxs-3xs8-vmkc-xdg5-x0lgeoyi6g57,1992,1
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,o75vu0rv-4lpg-d7jx-cijk-zl9p6l56a4jr,1992,2
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,w62oe14z-ud10-fu23-ahcw-xup994vocli2,1992,3
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,m41awirw-8tew-ndh9-i7a5-60z5emlwov05,1992,4
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,hzew6ygm-qfhx-lmfe-1212-c0dgt6zyvxwe,1992,5
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,vlhb2z6u-cnsu-sju4-xo8c-4jnvp49otkm3,1992,6
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,4v423r1s-fz3g-uy7i-odk0-62rpsl7p0fy9,1992,7
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,ex3ikwii-t0jk-3rom-smdt-m2blkvkucgpc,1992,8
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,wnfl31lg-97dp-g0jp-tk2i-xzb5t11kjmot,1992,9
3e02f6d0-86bf-4fe5-b893-f3b7ef41328b,26jmk7ko-5hgt-lb5z-o9o1-erq9trpjnmaf,1992,10
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,5el3u6e1-8tg2-bjqv-i23t-h54wxhowqr7f,2016,1
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,gawx22yj-lplv-n2j9-p1xy-kqxz81ao4ooj,2016,2
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,w2ua3v3d-pbqi-rl5l-kp7i-lrz94dy0quie,2016,3
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,o2tfxk0r-384c-dpj3-1og7-5cximobee686,2016,4
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,485smuzm-7nmc-7mtr-4si8-zuipjexoxg2d,2016,5
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,xczvgkmt-0p2t-mvs4-q5x6-xk357eij1dxz,2017,1
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,nnvbnoki-qp1i-6yym-aeok-pd5vvnzz9e8t,2018,1
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,yl1luow8-cl1v-3hb5-bdze-kgivmqpmp2bc,2018,2
065e0ecf-c9b8-4a26-86a9-1060f0aa7239,e6n4v9ik-54ph-1g3e-wej2-8o9ipopkfrtg,2018,3
